,x_name,y_name,protein_uniprot
3279979,PTK2,glioblastoma (disease),P47116
3279980,BRD2,glioblastoma (disease),A0A140T9X8
3279981,TGM2,glioblastoma (disease),Q6DKH2
3279982,TP53BP1,glioblastoma (disease),Q3YL84
3279983,VEGFA,glioblastoma (disease),A0A5F9ZH41
3279984,WT1,glioblastoma (disease),Q6LBI3
3279985,LZTR1,glioblastoma (disease),A0A2R8YCD2
3279986,H3C2,glioblastoma (disease),P68431
3279987,LTBP4,glioblastoma (disease),A0A087X0A7
3279988,RECK,glioblastoma (disease),Q6P9E2
3279989,BHLHE40,glioblastoma (disease),O14503
3279990,TNFSF10,glioblastoma (disease),Q6JSD9
3279991,PROM1,glioblastoma (disease),H0Y9D4
3279992,NCOR1,glioblastoma (disease),J3QKP0
3279993,NDRG1,glioblastoma (disease),A0A6Q8PFB3
3279994,HEY1,glioblastoma (disease),A0A6I8PU82
3279995,BRD4,glioblastoma (disease),W8JJB1
3279996,SUZ12,glioblastoma (disease),J3QQW9
3279997,TES,glioblastoma (disease),F8W7T0
3279998,ZBTB7A,glioblastoma (disease),L8E8Q6
3279999,POLK,glioblastoma (disease),L8E8A5
3280000,SRRT,glioblastoma (disease),A0A286YEP7
3280001,LRRC59,glioblastoma (disease),I3L223
3280002,TRMT11,glioblastoma (disease),V9GXZ6
3280003,TMEM135,glioblastoma (disease),E9PIS2
3280004,MACIR,glioblastoma (disease),Q8VEB3
3280005,DEUP1,glioblastoma (disease),A0A087WVI3
3280006,SEPTIN14,glioblastoma (disease),Q6ZU15
3280007,SLC22A10,glioblastoma (disease),E9PMM0
3280008,JAG1,tetralogy of fallot,B7U6M9
3280009,JAG1,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,B7U6M9
3280010,NKX2-5,tetralogy of fallot,A1ECD1
3280011,NKX2-5,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,A1ECD1
3280012,FOXC1,tetralogy of fallot,C6KMR8
3280013,FOXC1,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,C6KMR8
3280014,FOXC2,tetralogy of fallot,I6ZVX6
3280015,FOXC2,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,I6ZVX6
3280016,FLT4,tetralogy of fallot,I6ZVY0
3280017,FLT4,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,I6ZVY0
3280018,GATA4,tetralogy of fallot,B0LXF2
3280019,GATA4,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,B0LXF2
3280020,GATA6,tetralogy of fallot,Q05CA6
3280021,GATA6,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,Q05CA6
3280022,GDF1,tetralogy of fallot,P27539
3280023,GDF1,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,P27539
3280024,GJA5,tetralogy of fallot,A0A0B4J1Y3
3280025,GJA5,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,A0A0B4J1Y3
3280026,TBX1,tetralogy of fallot,A0A7P0Z4A3
3280027,TBX1,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,A0A7P0Z4A3
3280028,FOXH1,tetralogy of fallot,Q6P0Y2
3280029,FOXH1,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,Q6P0Y2
3280030,HAND2,tetralogy of fallot,Q32LY2
3280031,HAND2,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,Q32LY2
3280032,CITED2,tetralogy of fallot,A0A0A0MTM3
3280033,CITED2,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,A0A0A0MTM3
3280034,ZFPM2,tetralogy of fallot,E5RJX0
3280035,ZFPM2,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,E5RJX0
3280036,NKX2-6,tetralogy of fallot,A6NCS4
3280037,NKX2-6,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,A6NCS4
3280038,GATA5,tetralogy of fallot,Q9BWX5
3280039,GATA5,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,Q9BWX5
3280040,JAG1,Alagille syndrome,B7U6M9
3280041,JAG1,Alagille syndrome due to a JAG1 point mutation,B7U6M9
3280042,NOTCH2,Alagille syndrome,A0A494C049
3280043,NOTCH2,Alagille syndrome due to a JAG1 point mutation,A0A494C049
3280044,JAG1,salivary gland cancer,B7U6M9
3280045,AQP1,salivary gland cancer,A0A0M7BEW0
3280046,CCND1,salivary gland cancer,Q5MGB2
3280047,CDH1,salivary gland cancer,P53197
3280048,VCAN,salivary gland cancer,A0A1B1PFX2
3280049,DAPK1,salivary gland cancer,A0T398
3280050,MARK2,salivary gland cancer,E9PC69
3280051,EN1,salivary gland cancer,Q05925
3280052,FANCA,salivary gland cancer,Q0VAP3
3280053,FAT1,salivary gland cancer,P38225
3280054,GAS2,salivary gland cancer,Q06135
3280055,GAS6,salivary gland cancer,A0A0F6PYS3
3280056,GUCY1A1,salivary gland cancer,J3KQW2
3280057,IGFBP2,salivary gland cancer,H7C1H0
3280058,ITGB4,salivary gland cancer,B7ZLD5
3280059,KRT5,salivary gland cancer,Q9UEK9
3280060,KRT15,salivary gland cancer,K7EMX0
3280061,MARCKS,salivary gland cancer,Q05C82
3280062,PDZK1,salivary gland cancer,A0A0C4DG67
3280063,SERPINF1,salivary gland cancer,I3L1U4
3280064,PRKD1,salivary gland cancer,H0YHS9
3280065,PYGB,salivary gland cancer,H0Y4Z6
3280066,ST3GAL4,salivary gland cancer,A0A7I2V4V4
3280067,SON,salivary gland cancer,Q3YL85
3280068,SOX4,salivary gland cancer,Q06945
3280069,SOX11,salivary gland cancer,L8E7T1
3280070,TOP2A,salivary gland cancer,J3QR57
3280071,HOMER3,salivary gland cancer,M0QYF9
3280072,ESPL1,salivary gland cancer,H3BM31
3280073,MLC1,salivary gland cancer,P53141
3280074,RBFOX2,salivary gland cancer,A0A0G2JRD1
3280075,ZIM2,salivary gland cancer,M0QXI3
3280076,PCSK1N,salivary gland cancer,Q9UHG2
3280077,IRX4,salivary gland cancer,D6RC00
3280078,ISYNA1,salivary gland cancer,J3KRH4
3280079,DTL,salivary gland cancer,F5GZ90
3280080,GINS2,salivary gland cancer,M0R043
3280081,BCL11A,salivary gland cancer,A0A2R8Y7B0
3280082,STAG3L1,salivary gland cancer,Q7L1H2
3280083,MIER2,salivary gland cancer,A0A087WZA4
3280084,SLC24A3,salivary gland cancer,Q9HC58
3280085,EFHD1,salivary gland cancer,H7C0I0
3280086,WNT5B,salivary gland cancer,F5H364
3280087,NETO2,salivary gland cancer,H3BTE1
3280088,ASPM,salivary gland cancer,Q4G1H2
3280089,JAG1,giant cell glioblastoma,B7U6M9
3280090,APC,giant cell glioblastoma,J3JSM6
3280091,BCHE,giant cell glioblastoma,F8WF14
3280092,BMI1,giant cell glioblastoma,Q5T8Z2
3280093,RUNX1,giant cell glioblastoma,A0A023PPR2
3280094,RUNX3,giant cell glioblastoma,A0A024RAH4
3280095,CCNH,giant cell glioblastoma,A0A2R8Y4K6
3280096,CD9,giant cell glioblastoma,A0A7I2V3T0
3280097,CDK6,giant cell glioblastoma,Q00534
3280098,CHI3L1,giant cell glioblastoma,Q9NY39
3280099,CSTA,giant cell glioblastoma,C9J0E4
3280100,CSTB,giant cell glioblastoma,A0A1W2PQG6
3280101,CTNND2,giant cell glioblastoma,E7EPC8
3280102,CTSB,giant cell glioblastoma,E9PR21
3280103,CTSK,giant cell glioblastoma,H7CEH5
3280104,DUSP6,giant cell glioblastoma,Q689E8
3280105,EGF,giant cell glioblastoma,L8EC91
3280106,EGFR,giant cell glioblastoma,A7VMV4
3280107,FAT1,giant cell glioblastoma,P38225
3280108,FGFR1,giant cell glioblastoma,A0A1V1G971
3280109,FGFR3,giant cell glioblastoma,Q96T35
3280110,FN1,giant cell glioblastoma,A6YID3
3280111,FOSL2,giant cell glioblastoma,C9JCN8
3280112,MTOR,giant cell glioblastoma,B1AKP8
3280113,GDNF,giant cell glioblastoma,A0A0S2Z3T2
3280114,GRIK2,giant cell glioblastoma,Q8IY40
3280115,GSTT1,giant cell glioblastoma,A0A0G2JQD2
3280116,H2AX,giant cell glioblastoma,P16104
3280117,H3-3A,giant cell glioblastoma,A0A590UJJ6
3280118,HIF1A,giant cell glioblastoma,A8MYV6
3280119,HES1,giant cell glioblastoma,P35843
3280120,IDH1,giant cell glioblastoma,P28834
3280121,IFNA2,giant cell glioblastoma,P01563
3280122,IL1B,giant cell glioblastoma,C9JWV2
3280123,IL2,giant cell glioblastoma,Q91Y89
3280124,CXCL8,giant cell glioblastoma,C9J4T6
3280125,JAG2,giant cell glioblastoma,A0A0B6XK26
3280126,MDM4,giant cell glioblastoma,A0A087WUE3
3280127,MET,giant cell glioblastoma,B5A933
3280128,MGMT,giant cell glioblastoma,A0A059PXU1
3280129,MMP2,giant cell glioblastoma,J3KRB7
3280130,MMP9,giant cell glioblastoma,P14780
3280131,MYC,giant cell glioblastoma,L0CUZ4
3280132,NF1,giant cell glioblastoma,Q9UMU3
3280133,NFKBIA,giant cell glioblastoma,G3V2A2
3280134,NOTCH1,giant cell glioblastoma,W6FHB5
3280135,NOTCH2,giant cell glioblastoma,A0A494C049
3280136,NOTCH3,giant cell glioblastoma,B8XFT4
3280137,PRKN,giant cell glioblastoma,A0A6I8PRS9
3280138,PIM1,giant cell glioblastoma,P36775
3280139,PML,giant cell glioblastoma,H3BT57
3280140,PPARG,giant cell glioblastoma,A0A499FIV4
3280141,PTK2,giant cell glioblastoma,P47116
3280142,BRD2,giant cell glioblastoma,A0A140T9X8
3280143,TACC1,giant cell glioblastoma,Q8IUJ5
3280144,TGM2,giant cell glioblastoma,Q6DKH2
3280145,TP53,giant cell glioblastoma,A0A346XLQ1
3280146,TP53BP1,giant cell glioblastoma,Q3YL84
3280147,VEGFA,giant cell glioblastoma,A0A5F9ZH41
3280148,WT1,giant cell glioblastoma,Q6LBI3
3280149,LZTR1,giant cell glioblastoma,A0A2R8YCD2
3280150,H3C2,giant cell glioblastoma,P68431
3280151,LTBP4,giant cell glioblastoma,A0A087X0A7
3280152,RECK,giant cell glioblastoma,Q6P9E2
3280153,BHLHE40,giant cell glioblastoma,O14503
3280154,TNFSF10,giant cell glioblastoma,Q6JSD9
3280155,PROM1,giant cell glioblastoma,H0Y9D4
3280156,NCOR1,giant cell glioblastoma,J3QKP0
3280157,NDRG1,giant cell glioblastoma,A0A6Q8PFB3
3280158,TACC3,giant cell glioblastoma,H0Y8F2
3280159,HEY1,giant cell glioblastoma,A0A6I8PU82
3280160,BRD4,giant cell glioblastoma,W8JJB1
3280161,SUZ12,giant cell glioblastoma,J3QQW9
3280162,TES,giant cell glioblastoma,F8W7T0
3280163,ZBTB7A,giant cell glioblastoma,L8E8Q6
3280164,POLK,giant cell glioblastoma,L8E8A5
3280165,SRRT,giant cell glioblastoma,A0A286YEP7
3280166,LRRC59,giant cell glioblastoma,I3L223
3280167,TRMT11,giant cell glioblastoma,V9GXZ6
3280168,TMEM135,giant cell glioblastoma,E9PIS2
3280169,MACIR,giant cell glioblastoma,Q8VEB3
3280170,DEUP1,giant cell glioblastoma,A0A087WVI3
3280171,SEPTIN14,giant cell glioblastoma,Q6ZU15
3280172,SLC22A10,giant cell glioblastoma,E9PMM0
3280173,JAG1,pancreatic ductal adenocarcinoma,B7U6M9
3280174,AGTR1,pancreatic ductal adenocarcinoma,Q6NUP5
3280175,ARG2,pancreatic ductal adenocarcinoma,P40360
3280176,CDKN2A,pancreatic ductal adenocarcinoma,L8E941
3280177,DNMT1,pancreatic ductal adenocarcinoma,K7ELB1
3280178,DTX1,pancreatic ductal adenocarcinoma,Q86Y01
3280179,HES1,pancreatic ductal adenocarcinoma,P35843
3280180,HSPA1A,pancreatic ductal adenocarcinoma,V9GZ37
3280181,HSPA1B,pancreatic ductal adenocarcinoma,A0A0G2JIW1
3280182,JAG2,pancreatic ductal adenocarcinoma,A0A0B6XK26
3280183,KRAS,pancreatic ductal adenocarcinoma,A0A221ZRZ4
3280184,NFE2L2,pancreatic ductal adenocarcinoma,C9JBM0
3280185,NOTCH1,pancreatic ductal adenocarcinoma,W6FHB5
3280186,NOTCH3,pancreatic ductal adenocarcinoma,B8XFT4
3280187,NOTCH4,pancreatic ductal adenocarcinoma,Q6P3V5
3280188,STK11,pancreatic ductal adenocarcinoma,A0A0S2Z4C7
3280189,VEGFA,pancreatic ductal adenocarcinoma,A0A5F9ZH41
3280190,MSLN,pancreatic ductal adenocarcinoma,H3BMA1
3280191,NDRG1,pancreatic ductal adenocarcinoma,A0A6Q8PFB3
3280192,DTX4,pancreatic ductal adenocarcinoma,Q9Y2E6
3280193,HEY1,pancreatic ductal adenocarcinoma,A0A6I8PU82
3280194,HEY2,pancreatic ductal adenocarcinoma,Q5TF93
3280195,MIR142,pancreatic ductal adenocarcinoma,None
3280196,MIR873,pancreatic ductal adenocarcinoma,None
3280197,JAG1,glioma susceptibility,B7U6M9
3280198,APC,glioma susceptibility,J3JSM6
3280199,ATRX,glioblastoma (disease),A0A067XLH7
3280200,ATRX,glioma susceptibility,A0A067XLH7
3280201,BCHE,glioma susceptibility,F8WF14
3280202,BMI1,glioma susceptibility,Q5T8Z2
3280203,RUNX1,glioma susceptibility,A0A023PPR2
3280204,RUNX3,glioma susceptibility,A0A024RAH4
3280205,CCNH,glioma susceptibility,A0A2R8Y4K6
3280206,CD9,glioma susceptibility,A0A7I2V3T0
3280207,CDK2,glioblastoma (disease),A0A024RB77
3280208,CDK2,glioma susceptibility,A0A024RB77
3280209,CDK3,glioblastoma (disease),K7EJ83
3280210,CDK3,glioma susceptibility,K7EJ83
3280211,CDK6,glioma susceptibility,Q00534
3280212,CHI3L1,glioma susceptibility,Q9NY39
3280213,CSTA,glioma susceptibility,C9J0E4
3280214,CSTB,glioma susceptibility,A0A1W2PQG6
3280215,CTNND2,glioma susceptibility,E7EPC8
3280216,CTSB,glioma susceptibility,E9PR21
3280217,CTSK,glioma susceptibility,H7CEH5
3280218,DUSP6,glioma susceptibility,Q689E8
3280219,EGF,glioma susceptibility,L8EC91
3280220,EGFR,glioma susceptibility,A7VMV4
3280221,EPHB6,glioblastoma (disease),A0A0J9YXG1
3280222,EPHB6,glioma susceptibility,A0A0J9YXG1
3280223,ERN1,glioblastoma (disease),A0A7P0TAB0
3280224,ERN1,glioma susceptibility,A0A7P0TAB0
3280225,FAT1,glioma susceptibility,P38225
3280226,FN1,glioma susceptibility,A6YID3
3280227,FOSL2,glioma susceptibility,C9JCN8
3280228,MTOR,glioma susceptibility,B1AKP8
3280229,GDNF,glioma susceptibility,A0A0S2Z3T2
3280230,GRIK2,glioma susceptibility,Q8IY40
3280231,GSTT1,glioma susceptibility,A0A0G2JQD2
3280232,GUCY2F,glioblastoma (disease),P51841
3280233,GUCY2F,glioma susceptibility,P51841
3280234,H2AX,glioma susceptibility,P16104
3280235,H3-3A,glioma susceptibility,A0A590UJJ6
3280236,HES1,glioma susceptibility,P35843
3280237,IDH1,glioblastoma (disease),P28834
3280238,IDH1,glioma susceptibility,P28834
3280239,IDH2,glioblastoma (disease),P28241
3280240,IDH2,glioma susceptibility,P28241
3280241,IFNA2,glioma susceptibility,P01563
3280242,IL1B,glioma susceptibility,C9JWV2
3280243,IL2,glioma susceptibility,Q91Y89
3280244,CXCL8,glioma susceptibility,C9J4T6
3280245,INSRR,glioblastoma (disease),I6U4P1
3280246,INSRR,glioma susceptibility,I6U4P1
3280247,IRAK1,glioblastoma (disease),L8E7M9
3280248,IRAK1,glioma susceptibility,L8E7M9
3280249,JAG2,glioma susceptibility,A0A0B6XK26
3280250,MDM4,glioma susceptibility,A0A087WUE3
3280251,MGMT,glioma susceptibility,A0A059PXU1
3280252,MMP2,glioma susceptibility,J3KRB7
3280253,MYC,glioma susceptibility,L0CUZ4
3280254,NOTCH3,glioma susceptibility,B8XFT4
3280255,PRKN,glioma susceptibility,A0A6I8PRS9
3280256,PDGFRA,glioma susceptibility,D6RDX0
3280257,PDK2,glioblastoma (disease),D6RGV8
3280258,PDK2,glioma susceptibility,D6RGV8
3280259,PIK3CA,glioblastoma (disease),A0A6B9QKK2
3280260,PIK3CA,glioma susceptibility,A0A6B9QKK2
3280261,PIM1,glioma susceptibility,P36775
3280262,PIK3R1,glioblastoma (disease),J7GXU7
3280263,PIK3R1,glioma susceptibility,J7GXU7
3280264,PML,glioma susceptibility,H3BT57
3280265,PRKCA,glioblastoma (disease),A0A169TED2
3280266,PRKCA,glioma susceptibility,A0A169TED2
3280267,PRKCB,glioblastoma (disease),I3L148
3280268,PRKCB,glioma susceptibility,I3L148
3280269,MAPK8,glioblastoma (disease),B5BUB8
3280270,MAPK8,glioma susceptibility,B5BUB8
3280271,PTK2,glioma susceptibility,P47116
3280272,BRD2,glioma susceptibility,A0A140T9X8
3280273,RPS6KA3,glioblastoma (disease),A0A2R8YGB7
3280274,RPS6KA3,glioma susceptibility,A0A2R8YGB7
3280275,SRPK2,glioblastoma (disease),Q75MW9
3280276,SRPK2,glioma susceptibility,Q75MW9
3280277,TERT,glioblastoma (disease),Q9UNS6
3280278,TERT,glioma susceptibility,Q9UNS6
3280279,TGM2,glioma susceptibility,Q6DKH2
3280280,TP53BP1,glioma susceptibility,Q3YL84
3280281,VEGFA,glioma susceptibility,A0A5F9ZH41
3280282,WT1,glioma susceptibility,Q6LBI3
3280283,MAPKAPK3,glioblastoma (disease),C9J8E1
3280284,MAPKAPK3,glioma susceptibility,C9J8E1
3280285,LZTR1,glioma susceptibility,A0A2R8YCD2
3280286,H3C2,glioma susceptibility,P68431
3280287,LTBP4,glioma susceptibility,A0A087X0A7
3280288,RECK,glioma susceptibility,Q6P9E2
3280289,DYRK2,glioblastoma (disease),L8ECA4
3280290,DYRK2,glioma susceptibility,L8ECA4
3280291,BHLHE40,glioma susceptibility,O14503
3280292,TNFSF10,glioma susceptibility,Q6JSD9
3280293,PROM1,glioma susceptibility,H0Y9D4
3280294,NCOR1,glioma susceptibility,J3QKP0
3280295,AKT3,glioblastoma (disease),A0A5F9ZGZ4
3280296,AKT3,glioma susceptibility,A0A5F9ZGZ4
3280297,STAG2,glioblastoma (disease),B1AMT1
3280298,STAG2,glioma susceptibility,B1AMT1
3280299,BRD4,glioma susceptibility,W8JJB1
3280300,SUZ12,glioma susceptibility,J3QQW9
3280301,PRKD3,glioblastoma (disease),C9JKP8
3280302,PRKD3,glioma susceptibility,C9JKP8
3280303,TES,glioma susceptibility,F8W7T0
3280304,HSPB8,glioblastoma (disease),A0A6Q8PHK6
3280305,HSPB8,glioma susceptibility,A0A6Q8PHK6
3280306,ZBTB7A,glioma susceptibility,L8E8Q6
3280307,POLK,glioma susceptibility,L8E8A5
3280308,TRIM33,glioblastoma (disease),H0Y612
3280309,TRIM33,glioma susceptibility,H0Y612
3280310,SRRT,glioma susceptibility,A0A286YEP7
3280311,NLK,glioblastoma (disease),H0YD75
3280312,NLK,glioma susceptibility,H0YD75
3280313,STYK1,glioblastoma (disease),L8ECH9
3280314,STYK1,glioma susceptibility,L8ECH9
3280315,LRRC59,glioma susceptibility,I3L223
3280316,CDC42BPG,glioblastoma (disease),Q6DT37
3280317,CDC42BPG,glioma susceptibility,Q6DT37
3280318,TRIB3,glioblastoma (disease),B0QYQ2
3280319,TRIB3,glioma susceptibility,B0QYQ2
3280320,TRMT11,glioma susceptibility,V9GXZ6
3280321,PINK1,glioblastoma (disease),Q9BXM7
3280322,PINK1,glioma susceptibility,Q9BXM7
3280323,TMEM135,glioma susceptibility,E9PIS2
3280324,MACIR,glioma susceptibility,Q8VEB3
3280325,TAF1L,glioblastoma (disease),Q8IZX4
3280326,TAF1L,glioma susceptibility,Q8IZX4
3280327,SIK1,glioblastoma (disease),A0A2R8Y6E4
3280328,SIK1,glioma susceptibility,A0A2R8Y6E4
3280329,DEUP1,glioma susceptibility,A0A087WVI3
3280330,STKLD1,glioblastoma (disease),Q8NE28
3280331,STKLD1,glioma susceptibility,Q8NE28
3280332,SEPTIN14,glioma susceptibility,Q6ZU15
3280333,SLC22A10,glioma susceptibility,E9PMM0
3280334,JAG1,Alagille syndrome due to a NOTCH2 point mutation,B7U6M9
3280335,NOTCH2,Alagille syndrome due to a NOTCH2 point mutation,A0A494C049
3280336,JAG1,"deafness, congenital heart defects, and posterior embryotoxon",B7U6M9
3280337,JAG1,mutism (disease),B7U6M9
3280338,AK2,mutism (disease),A0A5F9ZHP2
3280339,BDNF,mutism (disease),A0A1B4Z9M7
3280340,CACNA1D,mutism (disease),A0A1B0GVI2
3280341,GJB2,mutism (disease),T1W120
3280342,GJB3,mutism (disease),O75712
3280343,SMAD4,mutism (disease),A0A0S2Z4B2
3280344,MITF,mutism (disease),Q8TF70
3280345,RNR1,mutism (disease),P21524
3280346,PAX3,mutism (disease),A0A1L4AAQ7
3280347,POLD1,mutism (disease),A0A2R8Y705
3280348,CDC14A,mutism (disease),A0A2R8YGM0
3280349,OTOF,mutism (disease),H7BZJ5
3280350,CLDN14,mutism (disease),O95500
3280351,PCDH15,mutism (disease),A2A3E7
3280352,ESPN,mutism (disease),K7EMB7
3280353,SERAC1,mutism (disease),A0A2R8YFH3
3280354,TMTC2,mutism (disease),F8VRQ2
3280355,SLC26A5,mutism (disease),Q496J1
3280356,PJVK,mutism (disease),A0A2R8Y7D2
3280357,AGT,aortic aneurysm (disease),A7L3A2
3280358,LOX,aortic aneurysm (disease),A0A7P0SNB0
3280359,SMAD3,aortic aneurysm (disease),H3BP09
3280360,MMP9,aortic aneurysm (disease),P14780
3280361,SKI,aortic aneurysm (disease),O70349
3280362,TGFBR2,aortic aneurysm (disease),W8DYI2
3280363,EFEMP2,aortic aneurysm (disease),Q6FH22
3280364,AGT,alcoholic cardiomyopathy,A7L3A2
3280365,AGT,cholestasis,A7L3A2
3280366,AGT,benign recurrent intrahepatic cholestasis,A7L3A2
3280367,AGT,familial intrahepatic cholestasis,A7L3A2
3280368,ALDH1B1,cholestasis,A0A0U1RQK9
3280369,ALDH1B1,benign recurrent intrahepatic cholestasis,A0A0U1RQK9
3280370,ALDH1B1,familial intrahepatic cholestasis,A0A0U1RQK9
3280371,BAAT,cholestasis,A0A6Q8PHR9
3280372,BAAT,benign recurrent intrahepatic cholestasis,A0A6Q8PHR9
3280373,BAAT,familial intrahepatic cholestasis,A0A6Q8PHR9
3280374,BCAT1,cholestasis,L8E7S9
3280375,BCAT1,benign recurrent intrahepatic cholestasis,L8E7S9
3280376,BCAT1,familial intrahepatic cholestasis,L8E7S9
3280377,BCS1L,cholestasis,A8BSR7
3280378,BCS1L,benign recurrent intrahepatic cholestasis,A8BSR7
3280379,BCS1L,familial intrahepatic cholestasis,A8BSR7
3280380,BLVRA,cholestasis,C9J1E1
3280381,BLVRA,benign recurrent intrahepatic cholestasis,C9J1E1
3280382,BLVRA,familial intrahepatic cholestasis,C9J1E1
3280383,CAT,cholestasis,A0A3B3ITJ0
3280384,CAT,benign recurrent intrahepatic cholestasis,A0A3B3ITJ0
3280385,CAT,familial intrahepatic cholestasis,A0A3B3ITJ0
3280386,CFTR,cholestasis,Q9NP07
3280387,CFTR,benign recurrent intrahepatic cholestasis,Q9NP07
3280388,CFTR,familial intrahepatic cholestasis,Q9NP07
3280389,ABCC2,cholestasis,A0A3B3IRU4
3280390,ABCC2,benign recurrent intrahepatic cholestasis,A0A3B3IRU4
3280391,ABCC2,familial intrahepatic cholestasis,A0A3B3IRU4
3280392,MAPK14,cholestasis,E7EX54
3280393,MAPK14,benign recurrent intrahepatic cholestasis,E7EX54
3280394,MAPK14,familial intrahepatic cholestasis,E7EX54
3280395,CYP1A2,cholestasis,P05177
3280396,CYP1A2,benign recurrent intrahepatic cholestasis,P05177
3280397,CYP1A2,familial intrahepatic cholestasis,P05177
3280398,CYP7A1,cholestasis,P22680
3280399,CYP7A1,benign recurrent intrahepatic cholestasis,P22680
3280400,CYP7A1,familial intrahepatic cholestasis,P22680
3280401,CYP8B1,cholestasis,C9JFR9
3280402,CYP8B1,benign recurrent intrahepatic cholestasis,C9JFR9
3280403,CYP8B1,familial intrahepatic cholestasis,C9JFR9
3280404,CYP27A1,cholestasis,Q96T86
3280405,CYP27A1,benign recurrent intrahepatic cholestasis,Q96T86
3280406,CYP27A1,familial intrahepatic cholestasis,Q96T86
3280407,DGUOK,cholestasis,A0A0S2Z3N1
3280408,DGUOK,benign recurrent intrahepatic cholestasis,A0A0S2Z3N1
3280409,DGUOK,familial intrahepatic cholestasis,A0A0S2Z3N1
3280410,NQO1,cholestasis,Q3B792
3280411,NQO1,benign recurrent intrahepatic cholestasis,Q3B792
3280412,NQO1,familial intrahepatic cholestasis,Q3B792
3280413,EGR1,cholestasis,Q546S1
3280414,EGR1,benign recurrent intrahepatic cholestasis,Q546S1
3280415,EGR1,familial intrahepatic cholestasis,Q546S1
3280416,FAH,cholestasis,H3BNP8
3280417,FAH,benign recurrent intrahepatic cholestasis,H3BNP8
3280418,FAH,familial intrahepatic cholestasis,H3BNP8
3280419,FGA,cholestasis,A0A0S2Z3P3
3280420,FGA,benign recurrent intrahepatic cholestasis,A0A0S2Z3P3
3280421,FGA,familial intrahepatic cholestasis,A0A0S2Z3P3
3280422,GNAS,cholestasis,A0A590UJG5
3280423,GNAS,benign recurrent intrahepatic cholestasis,A0A590UJG5
3280424,GNAS,familial intrahepatic cholestasis,A0A590UJG5
3280425,CXCL2,cholestasis,A0A024RDD9
3280426,CXCL2,benign recurrent intrahepatic cholestasis,A0A024RDD9
3280427,CXCL2,familial intrahepatic cholestasis,A0A024RDD9
3280428,ICAM1,cholestasis,Q14601
3280429,ICAM1,benign recurrent intrahepatic cholestasis,Q14601
3280430,ICAM1,familial intrahepatic cholestasis,Q14601
3280431,ID4,cholestasis,P47928
3280432,ID4,benign recurrent intrahepatic cholestasis,P47928
3280433,ID4,familial intrahepatic cholestasis,P47928
3280434,IGF1,cholestasis,L8EC78
3280435,IGF1,benign recurrent intrahepatic cholestasis,L8EC78
3280436,IGF1,familial intrahepatic cholestasis,L8EC78
3280437,IL6,cholestasis,A0A1C9J7V2
3280438,IL6,benign recurrent intrahepatic cholestasis,A0A1C9J7V2
3280439,IL6,familial intrahepatic cholestasis,A0A1C9J7V2
3280440,CXCL8,cholestasis,C9J4T6
3280441,CXCL8,benign recurrent intrahepatic cholestasis,C9J4T6
3280442,CXCL8,familial intrahepatic cholestasis,C9J4T6
3280443,LIPA,cholestasis,Q5T073
3280444,LIPA,benign recurrent intrahepatic cholestasis,Q5T073
3280445,LIPA,familial intrahepatic cholestasis,Q5T073
3280446,DNAJB9,cholestasis,Q6FIF1
3280447,DNAJB9,benign recurrent intrahepatic cholestasis,Q6FIF1
3280448,DNAJB9,familial intrahepatic cholestasis,Q6FIF1
3280449,MPV17,cholestasis,A0A0S2Z466
3280450,MPV17,benign recurrent intrahepatic cholestasis,A0A0S2Z466
3280451,MPV17,familial intrahepatic cholestasis,A0A0S2Z466
3280452,MYO5B,cholestasis,Q7Z7A5
3280453,MYO5B,benign recurrent intrahepatic cholestasis,Q7Z7A5
3280454,MYO5B,familial intrahepatic cholestasis,Q7Z7A5
3280455,NFE2L2,cholestasis,C9JBM0
3280456,NFE2L2,benign recurrent intrahepatic cholestasis,C9JBM0
3280457,NFE2L2,familial intrahepatic cholestasis,C9JBM0
3280458,NOS2,cholestasis,A0A2R8YDS4
3280459,NOS2,benign recurrent intrahepatic cholestasis,A0A2R8YDS4
3280460,NOS2,familial intrahepatic cholestasis,A0A2R8YDS4
